epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9862,1.31688,4.68685,0.0181,0.54168,0.36827,0.43251,0.24224,1.25164,5.9166,0.02681,0.000661157,0.000661157,0.000661157
2,38.0847,1.42422,3.31178,0.01997,0.53205,0.37363,0.37399,0.16735,1.7719,3.68164,0.04382,0.00132125,0.00132125,0.00132125
3,52.2391,1.54347,2.60797,0.02244,0.54722,0.43626,0.47762,0.21842,1.7117,2.58068,0.04101,0.00197474,0.00197474,0.00197474
4,66.3456,1.57817,2.28091,0.02339,0.54022,0.44601,0.4518,0.17428,1.79249,2.58179,0.04399,0.0019703,0.0019703,0.0019703
5,80.4612,1.57678,2.12623,0.02341,0.63541,0.53541,0.58932,0.29225,1.61585,1.99864,0.03793,0.0019604,0.0019604,0.0019604
6,94.7244,1.55872,2.03136,0.02318,0.60372,0.53541,0.53588,0.26338,1.75979,2.12596,0.04075,0.0019505,0.0019505,0.0019505
7,108.894,1.55969,1.96359,0.02262,0.66048,0.51558,0.54265,0.26591,1.65365,2.06562,0.03888,0.0019406,0.0019406,0.0019406
8,123.021,1.50395,1.93577,0.02183,0.58296,0.54251,0.55244,0.29269,1.54976,1.9332,0.03614,0.0019307,0.0019307,0.0019307
9,137.372,1.51824,1.90125,0.02203,0.60313,0.54108,0.56334,0.29971,1.574,1.74366,0.03541,0.0019208,0.0019208,0.0019208
10,151.691,1.4814,1.86573,0.02202,0.69786,0.53,0.58956,0.28791,1.70861,1.81869,0.0414,0.0019109,0.0019109,0.0019109
11,165.83,1.49819,1.86244,0.02216,0.68258,0.54108,0.58916,0.28408,1.72376,1.84167,0.03945,0.001901,0.001901,0.001901
12,180.164,1.48674,1.83027,0.02187,0.64252,0.51935,0.57549,0.31145,1.52568,1.86176,0.03517,0.0018911,0.0018911,0.0018911
13,194.546,1.46926,1.79001,0.02129,0.76654,0.57668,0.64841,0.3597,1.49468,1.60318,0.03217,0.0018812,0.0018812,0.0018812
14,208.915,1.46981,1.78698,0.0211,0.6518,0.52125,0.5665,0.31035,1.54169,1.8645,0.03526,0.0018713,0.0018713,0.0018713
15,223.023,1.43752,1.78985,0.02058,0.7916,0.56374,0.66546,0.33619,1.56603,1.66007,0.03643,0.0018614,0.0018614,0.0018614
16,237.165,1.42747,1.73848,0.02024,0.68039,0.57292,0.61188,0.32868,1.59344,1.70249,0.03616,0.0018515,0.0018515,0.0018515
17,250.713,1.43144,1.68869,0.02077,0.68455,0.56657,0.60668,0.33381,1.50869,1.66634,0.03474,0.0018416,0.0018416,0.0018416
18,264.24,1.44955,1.67583,0.02045,0.72261,0.60514,0.67683,0.37239,1.49303,1.61885,0.03279,0.0018317,0.0018317,0.0018317
19,277.964,1.40779,1.64094,0.01998,0.68879,0.55803,0.61582,0.36638,1.48446,1.65015,0.03238,0.0018218,0.0018218,0.0018218
20,291.613,1.42872,1.66055,0.01963,0.73943,0.62606,0.68429,0.37069,1.52962,1.55968,0.0348,0.0018119,0.0018119,0.0018119
21,305.847,1.41743,1.62621,0.01967,0.6993,0.6034,0.65967,0.36944,1.44814,1.61945,0.03192,0.001802,0.001802,0.001802
22,320.199,1.41347,1.63656,0.01997,0.72824,0.60057,0.65997,0.36143,1.5318,1.57837,0.0354,0.0017921,0.0017921,0.0017921
23,334.43,1.35401,1.54838,0.01904,0.70932,0.60833,0.66807,0.37924,1.45279,1.5598,0.03175,0.0017822,0.0017822,0.0017822
24,348.832,1.37881,1.58653,0.01946,0.74386,0.61473,0.692,0.39788,1.4394,1.51351,0.03279,0.0017723,0.0017723,0.0017723
25,363.234,1.35588,1.54927,0.019,0.81716,0.63173,0.70039,0.38493,1.48786,1.47513,0.03295,0.0017624,0.0017624,0.0017624
26,377.425,1.37377,1.56697,0.01907,0.70619,0.59207,0.65331,0.3665,1.47137,1.62522,0.03429,0.0017525,0.0017525,0.0017525
27,391.532,1.33843,1.54037,0.01901,0.77249,0.5864,0.68065,0.39074,1.45652,1.56761,0.03201,0.0017426,0.0017426,0.0017426
28,405.291,1.36009,1.5458,0.01936,0.76616,0.59403,0.6533,0.38148,1.46479,1.49787,0.03171,0.0017327,0.0017327,0.0017327
29,418.954,1.33498,1.48898,0.01834,0.76069,0.61234,0.68065,0.39185,1.49628,1.50871,0.03377,0.0017228,0.0017228,0.0017228
30,432.626,1.32181,1.50797,0.01846,0.76665,0.64589,0.72048,0.41633,1.39409,1.35917,0.03015,0.0017129,0.0017129,0.0017129
31,446.368,1.32709,1.53594,0.01798,0.77404,0.64047,0.71144,0.42935,1.3937,1.42795,0.03104,0.001703,0.001703,0.001703
32,460.307,1.30797,1.46392,0.01786,0.76596,0.60265,0.66618,0.39359,1.50855,1.44,0.03351,0.0016931,0.0016931,0.0016931
33,473.905,1.31054,1.43834,0.01845,0.8237,0.56374,0.66896,0.39812,1.44389,1.51814,0.03116,0.0016832,0.0016832,0.0016832
34,487.59,1.3494,1.47494,0.01872,0.83023,0.5779,0.68573,0.38012,1.4675,1.55751,0.0324,0.0016733,0.0016733,0.0016733
35,501.573,1.31697,1.44006,0.01818,0.80439,0.6034,0.70155,0.4169,1.41399,1.39445,0.03062,0.0016634,0.0016634,0.0016634
36,515.599,1.30319,1.43633,0.01832,0.76041,0.60623,0.67073,0.38317,1.51085,1.54037,0.03413,0.0016535,0.0016535,0.0016535
37,529.667,1.30273,1.40052,0.01797,0.83277,0.60661,0.69912,0.42464,1.34668,1.45338,0.02841,0.0016436,0.0016436,0.0016436
38,543.746,1.29436,1.40333,0.01776,0.80759,0.63017,0.71537,0.41937,1.43391,1.39105,0.03151,0.0016337,0.0016337,0.0016337
39,557.597,1.30469,1.45028,0.01794,0.79994,0.63456,0.70792,0.40924,1.47543,1.38117,0.03245,0.0016238,0.0016238,0.0016238
40,571.888,1.28114,1.40449,0.01774,0.81076,0.63456,0.70081,0.429,1.38523,1.40596,0.02905,0.0016139,0.0016139,0.0016139
41,586.176,1.29553,1.41077,0.01753,0.83033,0.62384,0.70007,0.42036,1.43216,1.39341,0.03018,0.001604,0.001604,0.001604
42,600.221,1.28762,1.38562,0.01807,0.87021,0.60057,0.71929,0.42955,1.4411,1.3402,0.03113,0.0015941,0.0015941,0.0015941
43,614.268,1.26401,1.37058,0.01725,0.81572,0.62606,0.72854,0.44579,1.37719,1.21039,0.02931,0.0015842,0.0015842,0.0015842
44,628.899,1.29183,1.39325,0.01763,0.77589,0.61789,0.70098,0.41939,1.3694,1.34071,0.02881,0.0015743,0.0015743,0.0015743
45,642.982,1.25127,1.36203,0.01736,0.75353,0.65156,0.705,0.43552,1.37473,1.33486,0.02938,0.0015644,0.0015644,0.0015644
46,656.572,1.26041,1.35657,0.0171,0.76388,0.63739,0.70969,0.43362,1.37732,1.34724,0.02922,0.0015545,0.0015545,0.0015545
47,670.057,1.24923,1.36706,0.01714,0.82384,0.63591,0.72255,0.42752,1.39675,1.38222,0.03033,0.0015446,0.0015446,0.0015446
48,683.975,1.26118,1.31915,0.01693,0.8331,0.62217,0.72266,0.43005,1.37991,1.34057,0.03022,0.0015347,0.0015347,0.0015347
49,698.245,1.23281,1.3074,0.0168,0.75109,0.66289,0.71658,0.41931,1.41398,1.32266,0.03046,0.0015248,0.0015248,0.0015248
50,712.492,1.24038,1.33476,0.01676,0.81564,0.6392,0.70415,0.42423,1.37525,1.45492,0.02976,0.0015149,0.0015149,0.0015149
51,726.72,1.22298,1.32511,0.01708,0.82641,0.64589,0.72087,0.45448,1.35767,1.28946,0.02835,0.001505,0.001505,0.001505
52,741.413,1.23147,1.28457,0.01679,0.8013,0.6626,0.74401,0.4499,1.37485,1.30498,0.02886,0.0014951,0.0014951,0.0014951
53,755.553,1.24956,1.30272,0.01661,0.83299,0.61756,0.70622,0.42197,1.40855,1.42116,0.03039,0.0014852,0.0014852,0.0014852
54,769.849,1.23756,1.31209,0.01681,0.85263,0.67197,0.74409,0.45278,1.35266,1.29951,0.02853,0.0014753,0.0014753,0.0014753
55,783.905,1.23478,1.27449,0.01643,0.8685,0.61473,0.70943,0.41672,1.47755,1.37973,0.03252,0.0014654,0.0014654,0.0014654
56,797.796,1.23997,1.32369,0.01632,0.87735,0.6204,0.72625,0.43326,1.40452,1.28158,0.0297,0.0014555,0.0014555,0.0014555
57,811.955,1.21796,1.26303,0.01654,0.76651,0.66572,0.7175,0.43881,1.3835,1.34161,0.02998,0.0014456,0.0014456,0.0014456
58,826.14,1.22712,1.2984,0.01659,0.85711,0.63456,0.73625,0.45843,1.36479,1.23012,0.0282,0.0014357,0.0014357,0.0014357
59,840.576,1.19274,1.26797,0.01585,0.84878,0.65439,0.73808,0.45379,1.3186,1.28114,0.0273,0.0014258,0.0014258,0.0014258
60,854.697,1.19806,1.25501,0.0157,0.85362,0.66081,0.73327,0.4528,1.34151,1.22615,0.0289,0.0014159,0.0014159,0.0014159
61,868.797,1.17792,1.24634,0.01614,0.79212,0.64873,0.71596,0.43791,1.38456,1.29595,0.029,0.001406,0.001406,0.001406
62,883.024,1.18241,1.24534,0.01633,0.89319,0.63964,0.74937,0.45997,1.3064,1.2372,0.02729,0.0013961,0.0013961,0.0013961
63,897.276,1.18924,1.22955,0.01598,0.86149,0.64589,0.72739,0.45118,1.32772,1.3293,0.02792,0.0013862,0.0013862,0.0013862
64,911.348,1.19816,1.21383,0.01614,0.84766,0.64626,0.71862,0.44461,1.37664,1.26919,0.02952,0.0013763,0.0013763,0.0013763
65,925.437,1.19022,1.22845,0.01572,0.91177,0.61473,0.72302,0.45509,1.32647,1.30863,0.0276,0.0013664,0.0013664,0.0013664
66,939.078,1.1809,1.21925,0.01539,0.86257,0.6401,0.73248,0.45519,1.32715,1.30711,0.0281,0.0013565,0.0013565,0.0013565
67,952.511,1.17022,1.20239,0.0154,0.90162,0.64903,0.76109,0.47161,1.34043,1.17952,0.02746,0.0013466,0.0013466,0.0013466
68,966.511,1.19202,1.21579,0.01561,0.86711,0.62846,0.73479,0.46646,1.2932,1.32301,0.02717,0.0013367,0.0013367,0.0013367
69,980.576,1.18016,1.19149,0.0156,0.87253,0.64873,0.75063,0.45995,1.35701,1.21465,0.0287,0.0013268,0.0013268,0.0013268
70,994.625,1.15862,1.18568,0.01572,0.80804,0.67989,0.73172,0.46134,1.30686,1.26057,0.0272,0.0013169,0.0013169,0.0013169
71,1008.69,1.16172,1.1796,0.01558,0.87311,0.64326,0.73638,0.45718,1.37214,1.24068,0.02954,0.001307,0.001307,0.001307
72,1022.7,1.17265,1.18165,0.01536,0.85744,0.62606,0.73222,0.46394,1.31781,1.30379,0.02796,0.0012971,0.0012971,0.0012971
73,1036.62,1.17719,1.19589,0.01554,0.87081,0.61103,0.71716,0.44672,1.35104,1.36747,0.02851,0.0012872,0.0012872,0.0012872
74,1050.69,1.14545,1.16277,0.01521,0.82799,0.63739,0.73358,0.46203,1.32363,1.31929,0.02762,0.0012773,0.0012773,0.0012773
75,1064.75,1.1685,1.19732,0.01568,0.87476,0.65296,0.74869,0.46158,1.36171,1.26278,0.02859,0.0012674,0.0012674,0.0012674
76,1078.74,1.12024,1.15267,0.01495,0.87842,0.64023,0.74395,0.46859,1.3074,1.23168,0.02735,0.0012575,0.0012575,0.0012575
77,1092.8,1.13026,1.15822,0.01526,0.84476,0.65722,0.73363,0.45334,1.34973,1.26654,0.02896,0.0012476,0.0012476,0.0012476
78,1106.58,1.14207,1.14604,0.0151,0.7825,0.63173,0.71049,0.44664,1.35727,1.31668,0.0291,0.0012377,0.0012377,0.0012377
79,1120.73,1.15202,1.13998,0.0153,0.88833,0.65156,0.74643,0.45981,1.32912,1.20282,0.02739,0.0012278,0.0012278,0.0012278
80,1134.77,1.1404,1.14592,0.01499,0.83274,0.64881,0.72429,0.43958,1.36882,1.31361,0.02922,0.0012179,0.0012179,0.0012179
81,1148.89,1.12625,1.10873,0.0146,0.80652,0.68272,0.73853,0.46003,1.34927,1.24174,0.02825,0.001208,0.001208,0.001208
82,1163.16,1.11938,1.13488,0.01489,0.85777,0.64306,0.73034,0.45382,1.37334,1.34004,0.02898,0.0011981,0.0011981,0.0011981
83,1177.44,1.09713,1.10228,0.01492,0.92155,0.65439,0.76668,0.48113,1.32498,1.23871,0.02736,0.0011882,0.0011882,0.0011882
84,1191.29,1.12515,1.11494,0.01554,0.84421,0.67547,0.74985,0.4638,1.38943,1.25041,0.02941,0.0011783,0.0011783,0.0011783
85,1204.99,1.12244,1.10887,0.01451,0.83763,0.64023,0.72959,0.4503,1.326,1.28478,0.02813,0.0011684,0.0011684,0.0011684
86,1218.62,1.10594,1.09602,0.01444,0.84106,0.65958,0.73632,0.47804,1.30041,1.28385,0.02724,0.0011585,0.0011585,0.0011585
87,1232.26,1.08133,1.09743,0.01444,0.86705,0.67139,0.73954,0.4599,1.3065,1.29157,0.02748,0.0011486,0.0011486,0.0011486
88,1245.89,1.10002,1.08221,0.01427,0.86589,0.66856,0.74486,0.47083,1.3173,1.29758,0.02751,0.0011387,0.0011387,0.0011387
89,1259.63,1.07798,1.06476,0.01443,0.87114,0.65114,0.72631,0.47259,1.2943,1.23289,0.02705,0.0011288,0.0011288,0.0011288
90,1273.15,1.07674,1.07314,0.01451,0.85666,0.62323,0.72492,0.46363,1.31478,1.32171,0.02804,0.0011189,0.0011189,0.0011189
91,1286.76,1.10972,1.09045,0.01474,0.86939,0.65997,0.73583,0.45385,1.3795,1.2476,0.02926,0.001109,0.001109,0.001109
92,1301.26,1.0925,1.08092,0.01475,0.82484,0.65366,0.71263,0.44602,1.34221,1.38752,0.02777,0.0010991,0.0010991,0.0010991
93,1315.64,1.0805,1.05328,0.01397,0.85798,0.65156,0.74043,0.4631,1.36294,1.25074,0.02831,0.0010892,0.0010892,0.0010892
94,1330.38,1.06915,1.04287,0.01414,0.84319,0.66572,0.73575,0.46715,1.34469,1.23633,0.02773,0.0010793,0.0010793,0.0010793
95,1344.83,1.07445,1.02952,0.01407,0.85153,0.64992,0.73666,0.47625,1.34415,1.26965,0.02726,0.0010694,0.0010694,0.0010694
96,1359.06,1.065,1.04106,0.01347,0.8236,0.66131,0.72698,0.45465,1.35269,1.27855,0.02753,0.0010595,0.0010595,0.0010595
97,1373.24,1.06215,1.06193,0.01402,0.8749,0.65381,0.74466,0.46921,1.30978,1.20999,0.02693,0.0010496,0.0010496,0.0010496
98,1387.39,1.04743,1.05587,0.01404,0.86318,0.66126,0.74932,0.46535,1.36427,1.20195,0.02805,0.0010397,0.0010397,0.0010397
99,1401.58,1.03314,1.02836,0.0134,0.89905,0.65593,0.75546,0.46296,1.37876,1.23193,0.0287,0.0010298,0.0010298,0.0010298
100,1415.75,1.06268,1.05538,0.01371,0.85312,0.66572,0.73645,0.46464,1.38036,1.26259,0.02854,0.0010199,0.0010199,0.0010199
101,1429.7,1.05795,1.03574,0.01369,0.90481,0.65156,0.74975,0.47202,1.36828,1.21635,0.02839,0.00101,0.00101,0.00101
