epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.165,1.7331,3.66287,0.01297,0.73632,0.62121,0.71425,0.37457,1.58364,1.40844,0.01925,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704
2,513.97,1.72787,1.95751,0.01274,0.78079,0.60101,0.7336,0.41545,1.53991,1.28553,0.0204,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997
3,762.131,1.87318,2.10223,0.0144,0.62221,0.52652,0.56313,0.254,1.90742,2.02003,0.02454,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127
4,1008.36,1.95287,2.26043,0.01526,0.78921,0.53418,0.66519,0.34528,1.73786,1.50013,0.02309,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1254.33,1.92114,2.23034,0.01482,0.77743,0.53364,0.65339,0.36539,1.5961,1.5632,0.02029,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1499.15,1.85446,2.08591,0.01401,0.8138,0.64394,0.75435,0.44834,1.53129,1.21321,0.02099,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1745.06,1.80942,1.99974,0.01346,0.84292,0.63889,0.77977,0.43712,1.62458,1.14312,0.02138,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1990.68,1.79502,1.91431,0.01348,0.82035,0.68056,0.78863,0.47346,1.4926,1.15645,0.02016,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2237.44,1.74905,1.88352,0.01338,0.8304,0.65404,0.79224,0.45913,1.43748,1.10411,0.01743,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2483.35,1.71724,1.79344,0.01243,0.87667,0.66413,0.80261,0.49254,1.42722,1.12376,0.0184,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,2730.03,1.70949,1.77754,0.01243,0.84657,0.67575,0.79481,0.5037,1.36161,1.11175,0.01792,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2976.96,1.68836,1.75741,0.01213,0.83902,0.75126,0.83956,0.53195,1.34682,0.92667,0.01786,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,3223.39,1.67495,1.68393,0.012,0.77621,0.72699,0.79766,0.4984,1.35678,1.11013,0.01781,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,3469.53,1.64453,1.65874,0.01192,0.83691,0.73611,0.83353,0.52702,1.35871,0.95632,0.01758,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,3715.9,1.64407,1.63003,0.01205,0.88474,0.70202,0.83765,0.54713,1.32395,0.90761,0.01759,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,3962.27,1.62364,1.59483,0.01196,0.87668,0.74874,0.85628,0.5605,1.29355,0.86547,0.0173,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,4209.11,1.62395,1.55657,0.01166,0.85291,0.74874,0.85173,0.555,1.32978,0.87694,0.01754,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4455.14,1.61003,1.5532,0.01132,0.87607,0.74974,0.84935,0.54031,1.32082,0.92345,0.01737,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,4701.32,1.58073,1.51477,0.01137,0.86223,0.72854,0.84448,0.56309,1.25198,0.88792,0.01676,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,4948.37,1.59709,1.51639,0.01127,0.87549,0.73106,0.8506,0.54964,1.28179,0.96608,0.01721,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,5194.76,1.58914,1.47962,0.01125,0.89101,0.76383,0.86631,0.56768,1.26504,0.85653,0.01625,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,5442.01,1.56378,1.45885,0.01111,0.88587,0.75461,0.8637,0.56151,1.29346,0.86965,0.01656,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,5688.77,1.56172,1.432,0.01083,0.8853,0.76768,0.87142,0.58542,1.21992,0.82329,0.01574,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,5935.58,1.55106,1.43036,0.01079,0.89281,0.76515,0.87306,0.58932,1.19896,0.81759,0.01633,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,6182.31,1.54761,1.40287,0.01094,0.93092,0.76566,0.87767,0.59489,1.1952,0.81132,0.01567,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,6429.1,1.53815,1.37214,0.01086,0.88693,0.80227,0.88543,0.59301,1.24531,0.75978,0.01601,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,6675.53,1.5245,1.36686,0.01046,0.88671,0.79672,0.88686,0.60796,1.15021,0.76349,0.01493,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,6922.21,1.51137,1.36472,0.01058,0.90596,0.77849,0.87936,0.5983,1.21844,0.78011,0.01636,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,7168.56,1.50916,1.36647,0.01066,0.86323,0.7702,0.86902,0.59096,1.20734,0.81412,0.01584,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,7414.98,1.51946,1.34244,0.01092,0.9061,0.77146,0.88131,0.60494,1.18864,0.74975,0.01586,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,7661.26,1.50563,1.31772,0.01039,0.90551,0.78649,0.88644,0.59916,1.18945,0.75538,0.01458,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,7908.09,1.50043,1.31363,0.0103,0.92436,0.7904,0.88848,0.61384,1.16917,0.72805,0.01551,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,8155.02,1.479,1.30097,0.01021,0.8622,0.79788,0.88296,0.61225,1.14009,0.75983,0.01463,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,8401.17,1.48212,1.29083,0.01008,0.89201,0.79267,0.88522,0.61663,1.15737,0.7599,0.01529,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,8647.83,1.48064,1.29093,0.01033,0.9226,0.7904,0.88566,0.60829,1.19564,0.72984,0.01595,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,8893.79,1.47623,1.26893,0.01026,0.92094,0.79427,0.89479,0.62221,1.15015,0.71891,0.01491,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,9140.25,1.45592,1.26302,0.01,0.91304,0.80429,0.89744,0.62304,1.13928,0.72037,0.01405,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,9386.88,1.44324,1.23243,0.01002,0.89558,0.81187,0.89465,0.61482,1.17359,0.71027,0.01467,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,9633.22,1.44655,1.24077,0.01019,0.90198,0.80171,0.89172,0.62267,1.1318,0.70713,0.01417,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,9879.12,1.43275,1.22355,0.01008,0.91439,0.82269,0.89975,0.6328,1.1398,0.68453,0.01493,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,10125.9,1.44281,1.23179,0.00981,0.90426,0.82284,0.89897,0.62654,1.1417,0.68875,0.01413,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,10372.5,1.44328,1.22144,0.01004,0.91149,0.80682,0.8929,0.62524,1.14085,0.69739,0.01467,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,10618.2,1.43157,1.21803,0.00938,0.90577,0.80177,0.89506,0.63253,1.1293,0.70765,0.01423,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
