epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,245.158,1.85272,3.71931,0.01344,0.79781,0.6626,0.77535,0.45095,1.44312,1.14807,0.01783,0.00998615,0.00332872,0.00998615,0.00332872,0.00998615,0.00332872,0.00998615,0.00332872
2,476.099,1.83044,2.06078,0.01344,0.75606,0.69444,0.76821,0.43049,1.56234,1.23736,0.02182,0.0199849,0.00666164,0.0199849,0.00666164,0.0199849,0.00666164,0.0199849,0.00666164
3,702.188,1.93683,2.2423,0.01449,0.63967,0.47096,0.53152,0.24861,1.91956,1.87661,0.02584,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294
4,927.42,2.02308,2.36543,0.0154,0.84185,0.56187,0.67708,0.35974,1.68817,1.65582,0.02134,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1152.57,1.97679,2.28146,0.01484,0.84457,0.58316,0.719,0.41669,1.55001,1.49582,0.02057,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1378.89,1.91067,2.17602,0.014,0.83345,0.67608,0.78543,0.46979,1.43038,1.21357,0.01834,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1604.46,1.87927,2.08769,0.01362,0.85522,0.67045,0.79705,0.47156,1.4907,1.11307,0.01915,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1830.35,1.84225,2.02173,0.01312,0.82442,0.68056,0.79962,0.49806,1.40072,1.06896,0.01795,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2056.2,1.82991,1.92341,0.01295,0.87409,0.66793,0.81428,0.50723,1.38769,1.03967,0.01786,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2281.24,1.80587,1.88795,0.01285,0.85732,0.66919,0.81443,0.50184,1.39416,1.02588,0.01806,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,2506.96,1.77753,1.86449,0.01259,0.82031,0.69747,0.81695,0.52368,1.3434,1.02965,0.01802,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2734.16,1.75096,1.81216,0.01241,0.82248,0.74747,0.84592,0.5261,1.37175,0.97954,0.01788,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2959.37,1.74931,1.76863,0.01215,0.86602,0.72634,0.83903,0.53804,1.30956,0.94939,0.01655,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,3183.85,1.73824,1.72781,0.01223,0.84001,0.75,0.858,0.5646,1.29087,0.86048,0.01746,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,3409.68,1.75202,1.69472,0.01229,0.82433,0.7702,0.85408,0.53889,1.31818,0.91188,0.01616,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,3635.33,1.703,1.66866,0.01226,0.86281,0.76389,0.86938,0.5515,1.3555,0.84578,0.01895,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,3860.3,1.70726,1.64207,0.01192,0.8712,0.75158,0.86187,0.55797,1.32124,0.86196,0.01841,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4086.09,1.69844,1.62259,0.01177,0.87538,0.76515,0.86432,0.56102,1.28111,0.85999,0.01681,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,4312.26,1.67625,1.60185,0.01178,0.86166,0.74621,0.85727,0.55423,1.33131,0.84842,0.0167,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,4537.9,1.67505,1.59676,0.01165,0.8343,0.80303,0.86993,0.57001,1.27106,0.81561,0.01566,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,4764.4,1.65668,1.57729,0.01134,0.85824,0.77399,0.87005,0.5859,1.21835,0.82369,0.01591,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,4991.1,1.65381,1.54871,0.01162,0.88669,0.76136,0.87322,0.58751,1.23749,0.79021,0.01642,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,5215.69,1.64786,1.5311,0.01144,0.8895,0.79924,0.8894,0.582,1.26573,0.77087,0.01567,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,5441.3,1.62981,1.47859,0.01125,0.88861,0.77904,0.88884,0.58427,1.23741,0.7661,0.01535,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,5667.03,1.63576,1.50419,0.0112,0.91555,0.75283,0.87898,0.59501,1.19787,0.77899,0.01553,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,5893.13,1.61682,1.48644,0.01088,0.87085,0.80881,0.89049,0.59123,1.25788,0.76576,0.01661,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,6119.36,1.62626,1.46745,0.01113,0.90179,0.77525,0.88093,0.60937,1.18569,0.74058,0.01566,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,6344.8,1.61302,1.462,0.01119,0.8887,0.80682,0.88916,0.60275,1.20201,0.73851,0.01498,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,6571.29,1.60305,1.41622,0.01087,0.88991,0.80629,0.89738,0.61472,1.16851,0.71898,0.01474,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,6798.34,1.61091,1.43252,0.01099,0.84909,0.83121,0.8991,0.60668,1.22046,0.69589,0.01584,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,7023.66,1.58533,1.41052,0.01086,0.89045,0.79025,0.89343,0.6191,1.12894,0.71916,0.01403,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,7249.74,1.58346,1.39169,0.01068,0.89209,0.80177,0.89388,0.62006,1.16292,0.69524,0.01471,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,7474.96,1.58595,1.40245,0.01054,0.89147,0.81439,0.89487,0.61639,1.15701,0.70488,0.01416,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,7698.89,1.57106,1.39423,0.01076,0.89478,0.82449,0.90213,0.63005,1.10952,0.69505,0.01394,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,7923.52,1.56704,1.38288,0.01058,0.89871,0.82449,0.8973,0.6315,1.11897,0.67566,0.01451,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,8148.07,1.55426,1.35828,0.01043,0.89342,0.80437,0.89418,0.62261,1.13852,0.69328,0.01393,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,8372.45,1.55388,1.3543,0.01063,0.88917,0.83712,0.90674,0.63194,1.14759,0.66436,0.01526,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,8596.93,1.55648,1.36483,0.01037,0.9036,0.80808,0.90209,0.63663,1.11847,0.68481,0.01435,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,8821.64,1.54545,1.32863,0.01031,0.89146,0.82955,0.90502,0.63149,1.13042,0.65888,0.01471,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,9045.47,1.52685,1.32995,0.01024,0.92378,0.79577,0.90719,0.64273,1.0864,0.65375,0.01336,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,9269.79,1.53712,1.32371,0.01031,0.91189,0.81439,0.9077,0.64122,1.10839,0.65277,0.01442,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,9494.28,1.53917,1.30082,0.01035,0.92146,0.82449,0.91347,0.65272,1.08857,0.63873,0.01348,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,9718.64,1.53103,1.30069,0.01034,0.90765,0.83141,0.91338,0.65554,1.06541,0.64265,0.01336,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,9942.83,1.51729,1.29424,0.0101,0.93442,0.80429,0.90582,0.64975,1.06421,0.64394,0.01325,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,10166.7,1.51067,1.27991,0.00994,0.90859,0.82835,0.91032,0.65048,1.09371,0.61772,0.01395,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,10390.1,1.52123,1.27468,0.01034,0.90145,0.81692,0.91174,0.65535,1.05486,0.64854,0.0128,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,10613.7,1.51412,1.26759,0.01006,0.92161,0.80165,0.9044,0.64499,1.09139,0.64577,0.01356,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,10837.6,1.50787,1.27835,0.01004,0.92239,0.82071,0.90485,0.64352,1.0816,0.642,0.01328,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,11061.1,1.50327,1.23083,0.01003,0.92142,0.82911,0.9121,0.64925,1.08664,0.6473,0.01353,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,11284.7,1.49419,1.25463,0.00992,0.91217,0.84596,0.91235,0.65405,1.07103,0.63191,0.0131,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,11508.1,1.49622,1.23265,0.00976,0.92777,0.82713,0.91938,0.64787,1.09208,0.61193,0.01321,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,11732.6,1.47968,1.22224,0.00983,0.93599,0.82576,0.92,0.64557,1.08023,0.61216,0.01305,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,11955.8,1.49697,1.20684,0.00973,0.92972,0.83586,0.91758,0.65518,1.07509,0.59563,0.01337,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,12179.8,1.47622,1.22492,0.00964,0.93647,0.82197,0.9206,0.65881,1.07102,0.5935,0.0131,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,12404.3,1.4736,1.23097,0.00992,0.92324,0.83522,0.91807,0.66106,1.04153,0.61229,0.0124,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,12628,1.46874,1.19988,0.00982,0.94533,0.82449,0.91758,0.65956,1.06279,0.59945,0.01304,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,12851.7,1.46137,1.19979,0.00956,0.93759,0.82828,0.91839,0.66034,1.05675,0.61245,0.0126,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,13075.4,1.46573,1.20977,0.0098,0.94129,0.82828,0.92006,0.66432,1.04021,0.60463,0.01234,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,13299.3,1.47117,1.19073,0.00947,0.9295,0.83838,0.92158,0.66738,1.01774,0.62698,0.01196,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,13523.3,1.45114,1.16192,0.00947,0.93427,0.83838,0.91747,0.67063,1.03133,0.59926,0.01241,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,13747.3,1.44743,1.17506,0.00945,0.92529,0.84848,0.92026,0.6737,1.028,0.58759,0.01251,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,13972.3,1.45807,1.14903,0.00952,0.92512,0.84235,0.9208,0.67326,1.03394,0.57994,0.01255,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,14195.8,1.45052,1.16509,0.00963,0.9198,0.84596,0.92186,0.67526,1.0354,0.58368,0.01243,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,14419.8,1.44193,1.14672,0.00952,0.94311,0.82702,0.92337,0.67553,1.02061,0.59938,0.01195,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,14644,1.44966,1.14847,0.00958,0.94385,0.83965,0.92368,0.67479,1.02013,0.58885,0.012,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,14867.4,1.43801,1.12539,0.00948,0.95017,0.82449,0.91951,0.67587,1.01306,0.59321,0.01174,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,15091.5,1.43523,1.11537,0.00942,0.942,0.84082,0.92033,0.67816,0.99301,0.60159,0.01142,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,15315.2,1.43776,1.13797,0.00936,0.92704,0.85023,0.92136,0.67869,0.99891,0.58253,0.01168,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,15539.3,1.42381,1.11761,0.00937,0.94322,0.83904,0.9208,0.6789,1.007,0.5744,0.01201,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,15763.4,1.42262,1.09924,0.00913,0.94328,0.83986,0.92228,0.68052,1.01346,0.56275,0.01208,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,15987.4,1.4324,1.10801,0.00934,0.93485,0.85156,0.92071,0.67504,1.01988,0.57106,0.01227,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,16211.5,1.41283,1.1046,0.00916,0.94773,0.83712,0.91895,0.67518,1.00501,0.58182,0.01175,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
