epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,190.751,1.65948,3.84545,0.01514,0.7012,0.63111,0.69679,0.34447,1.61203,1.45272,0.01781,0.00997403,0.00332468,0.00997403,0.00332468,0.00997403,0.00332468,0.00997403,0.00332468
2,373.769,1.61159,1.89223,0.01455,0.70277,0.55556,0.6343,0.30119,1.63998,2.05518,0.0202,0.0199728,0.0066576,0.0199728,0.0066576,0.0199728,0.0066576,0.0199728,0.0066576
3,554.046,1.76976,2.1258,0.0161,0.28487,0.20455,0.13877,0.05945,1.77642,3.45043,0.02017,0.0299667,0.0099889,0.0299667,0.0099889,0.0299667,0.0099889,0.0299667,0.0099889
4,733.01,1.86862,2.25944,0.01753,0.51755,0.39773,0.4143,0.20079,1.93795,2.48647,0.02287,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,911.416,1.81862,2.16155,0.01684,0.65932,0.55429,0.63453,0.30154,1.74001,2.09112,0.0221,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1089.85,1.78428,2.09469,0.01573,0.66395,0.50505,0.57524,0.29179,1.80552,1.72136,0.02405,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1268.54,1.75266,2.01329,0.01533,0.71984,0.59975,0.69637,0.30341,1.86425,1.489,0.02024,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1447.72,1.71746,1.91583,0.01504,0.73199,0.58712,0.66837,0.37215,1.58196,1.7217,0.02133,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1626.98,1.70549,1.89536,0.0151,0.82594,0.55122,0.67018,0.35869,1.59275,1.80439,0.01889,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1805.03,1.66653,1.83578,0.01439,0.7804,0.6452,0.74969,0.39793,1.65348,1.37022,0.02097,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1983.78,1.63425,1.78711,0.01433,0.76904,0.67045,0.75176,0.43079,1.50385,1.28837,0.01854,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2163.41,1.63682,1.76498,0.0143,0.7973,0.69571,0.78904,0.43749,1.55527,1.22437,0.01871,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2342.41,1.60665,1.74341,0.01409,0.7362,0.69823,0.75036,0.43825,1.49375,1.26157,0.01818,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2521.82,1.5935,1.71005,0.01416,0.82947,0.73359,0.82721,0.48875,1.43399,1.07579,0.01776,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2701.4,1.5939,1.69751,0.01403,0.86892,0.72096,0.83398,0.50681,1.43423,0.99145,0.01819,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2881.09,1.57778,1.64648,0.0137,0.83922,0.68561,0.7976,0.48029,1.43293,1.08394,0.01732,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,3060.21,1.56389,1.6275,0.01336,0.86072,0.73485,0.83583,0.51344,1.43337,1.00423,0.01839,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,3239.92,1.54959,1.57884,0.01369,0.84668,0.74874,0.84688,0.50585,1.43153,0.96147,0.01739,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3417.88,1.52293,1.53948,0.01313,0.84146,0.77146,0.85056,0.53716,1.37132,0.91879,0.01686,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3596.55,1.52161,1.55436,0.01327,0.83594,0.72056,0.81803,0.49306,1.42093,1.06822,0.01725,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3774.7,1.5195,1.55811,0.01311,0.90074,0.72348,0.83888,0.52474,1.34755,1.0205,0.01732,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,3954.36,1.52444,1.521,0.01283,0.8589,0.76858,0.85695,0.52792,1.36115,0.92969,0.01755,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,4133.36,1.48402,1.47188,0.01239,0.86815,0.77778,0.85346,0.51592,1.40175,0.95172,0.0158,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,4311.5,1.49559,1.45766,0.01238,0.88145,0.75102,0.85916,0.53075,1.36683,0.89312,0.01591,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4489.82,1.48783,1.46369,0.0129,0.84323,0.74116,0.84272,0.52823,1.35366,0.95329,0.01746,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,4668.2,1.48297,1.46791,0.01265,0.85724,0.75817,0.86028,0.55182,1.32372,0.83255,0.01601,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,4847.46,1.46643,1.43525,0.01236,0.89013,0.78535,0.88116,0.53946,1.37229,0.83156,0.01605,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,5025.83,1.45594,1.4015,0.01201,0.87866,0.78628,0.8686,0.55102,1.321,0.903,0.01589,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,5204.96,1.44108,1.39302,0.0121,0.87235,0.76797,0.87338,0.54654,1.33811,0.83258,0.01549,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,5383.6,1.44476,1.38019,0.01215,0.8573,0.78887,0.87209,0.55496,1.30659,0.80058,0.01621,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5562.87,1.42554,1.35258,0.0117,0.89381,0.7758,0.86009,0.54754,1.34772,0.86077,0.01682,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5741.61,1.42067,1.34501,0.01169,0.86484,0.80934,0.87334,0.56461,1.27588,0.83411,0.01461,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5920.3,1.42082,1.34103,0.01166,0.87729,0.78535,0.86554,0.51906,1.46622,0.83527,0.01632,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,6098.5,1.41612,1.34564,0.01167,0.86597,0.76687,0.86074,0.53402,1.32327,0.86048,0.01562,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,6277.44,1.40215,1.37661,0.01169,0.91192,0.78435,0.87873,0.57676,1.267,0.77339,0.01488,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6456.64,1.38788,1.30663,0.01159,0.92423,0.78547,0.89129,0.57048,1.32433,0.77275,0.01608,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6634.99,1.39455,1.29065,0.01141,0.89534,0.80429,0.87652,0.58284,1.23668,0.77612,0.01431,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6813.64,1.3801,1.30082,0.01122,0.91638,0.81061,0.89531,0.5885,1.24671,0.72621,0.01452,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6992.92,1.41091,1.3029,0.01147,0.91283,0.81973,0.88792,0.56775,1.27505,0.7738,0.01494,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,7171,1.35521,1.2906,0.01138,0.87548,0.79893,0.88113,0.56448,1.29527,0.80121,0.01511,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,7349.49,1.36974,1.25896,0.01116,0.89986,0.83207,0.90211,0.58933,1.2308,0.73261,0.01457,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,7528.81,1.35857,1.25228,0.01102,0.90321,0.81299,0.89815,0.59082,1.24458,0.70733,0.01485,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
