epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.578,1.6777,3.78336,0.01521,0.60664,0.56275,0.59276,0.28405,1.57527,1.69333,0.01884,0.00997403,0.00332468,0.00997403,0.00332468,0.00997403,0.00332468,0.00997403,0.00332468
2,381.226,1.64936,1.93971,0.01526,0.68317,0.59848,0.67032,0.35541,1.64611,1.67301,0.02127,0.0199728,0.0066576,0.0199728,0.0066576,0.0199728,0.0066576,0.0199728,0.0066576
3,562.025,1.78652,2.12784,0.01654,0.64473,0.38384,0.46925,0.18779,1.81472,2.62548,0.0217,0.0299667,0.0099889,0.0299667,0.0099889,0.0299667,0.0099889,0.0299667,0.0099889
4,740.99,1.86576,2.27347,0.01701,0.67107,0.44697,0.52341,0.2473,1.79866,2.22713,0.0232,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,919.54,1.82323,2.21795,0.01709,0.66871,0.5846,0.60957,0.31832,1.67931,1.90229,0.02168,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1097.78,1.78793,2.12395,0.01617,0.78594,0.55166,0.67783,0.3596,1.64403,1.66059,0.0206,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1276.76,1.76692,2.06215,0.01589,0.76428,0.62753,0.72859,0.39166,1.57113,1.43596,0.01952,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1456.16,1.7187,1.9702,0.01521,0.77005,0.62156,0.70932,0.38197,1.57988,1.75989,0.01972,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1635.06,1.70399,1.95709,0.01497,0.77967,0.61995,0.72665,0.39589,1.53572,1.41872,0.01839,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1814.38,1.66437,1.90194,0.01491,0.75568,0.53409,0.65984,0.3399,1.61441,1.4099,0.01984,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1992.98,1.63977,1.85281,0.01411,0.79512,0.67929,0.7783,0.42769,1.58925,1.21243,0.01915,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2172.52,1.6162,1.80026,0.01423,0.8037,0.64773,0.77353,0.44874,1.44204,1.19734,0.01765,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2351.82,1.61871,1.81332,0.01451,0.86244,0.71717,0.82045,0.48286,1.44234,1.07869,0.01824,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2530.9,1.60672,1.72352,0.01418,0.80323,0.69066,0.81164,0.49586,1.41459,1.03144,0.01788,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2710.1,1.58574,1.71033,0.01354,0.82647,0.67954,0.8011,0.47225,1.48364,1.09796,0.01864,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2889.87,1.58335,1.70138,0.01352,0.82346,0.72222,0.81507,0.47854,1.46747,1.03892,0.01769,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,3068.87,1.56784,1.63242,0.01354,0.84736,0.74999,0.83745,0.50512,1.43427,0.96867,0.01819,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,3248.31,1.55015,1.63074,0.01334,0.83639,0.71212,0.82488,0.51261,1.3777,0.92993,0.01706,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3427.38,1.55262,1.63301,0.01321,0.7902,0.73611,0.81785,0.50751,1.37686,1.00025,0.01702,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3605.96,1.53768,1.60666,0.01308,0.84345,0.76191,0.84846,0.52676,1.38402,0.93215,0.01701,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3785.17,1.52741,1.58774,0.01309,0.88931,0.76136,0.85566,0.5368,1.366,0.89071,0.01681,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,3964.6,1.50935,1.5759,0.01303,0.85164,0.76515,0.84523,0.54292,1.3159,0.92628,0.0171,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,4143.94,1.51672,1.55147,0.01277,0.89085,0.7601,0.86307,0.53765,1.36069,0.90128,0.01673,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,4322.73,1.49536,1.53509,0.01277,0.90121,0.74865,0.86131,0.54645,1.37391,0.87298,0.01756,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4501.75,1.48319,1.52713,0.01278,0.89105,0.75631,0.8597,0.5293,1.36219,0.90698,0.01585,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
