epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.285,1.7728,3.77497,0.01351,0.81061,0.65933,0.74434,0.4162,1.46882,1.27594,0.01868,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704
2,514.722,1.74043,1.97326,0.01319,0.72591,0.61237,0.6944,0.36818,1.54546,1.4523,0.01958,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997
3,762.586,1.87345,2.20655,0.01452,0.80748,0.50126,0.62762,0.3395,1.71821,1.7881,0.02283,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127
4,1008.52,1.95652,2.30575,0.01515,0.71681,0.49369,0.59874,0.30159,1.79198,1.96327,0.02177,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1255.22,1.92292,2.25255,0.01496,0.82925,0.63773,0.74093,0.4456,1.46962,1.43209,0.02007,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1501.32,1.86315,2.12393,0.014,0.76013,0.6149,0.71246,0.40455,1.57031,1.34538,0.01965,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1748.13,1.81876,1.9973,0.01343,0.801,0.6251,0.73053,0.40612,1.56603,1.28458,0.02072,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1994.94,1.79118,1.96901,0.01354,0.81692,0.67298,0.79043,0.47804,1.48349,1.14436,0.01934,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2242.6,1.7632,1.91511,0.01302,0.83464,0.70105,0.81243,0.47141,1.49587,1.04809,0.01989,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2489.58,1.74041,1.8846,0.01278,0.84936,0.68434,0.81534,0.50266,1.42997,1.05679,0.01905,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,2737.11,1.72752,1.82884,0.01245,0.83638,0.69697,0.81343,0.50069,1.41242,0.99836,0.01813,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2984.95,1.72228,1.78125,0.01251,0.82604,0.74345,0.83156,0.50183,1.43159,1.03143,0.01765,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,3231.61,1.68947,1.76151,0.01237,0.81147,0.75543,0.84108,0.53429,1.31667,0.97349,0.0171,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,3478.96,1.68268,1.73304,0.01227,0.83953,0.72348,0.83242,0.53198,1.32323,0.9658,0.01665,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,3726.24,1.67562,1.70612,0.01239,0.82126,0.73232,0.82373,0.53798,1.29386,0.98209,0.01681,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,3974.06,1.64881,1.66463,0.01187,0.85716,0.75011,0.84988,0.55549,1.26783,0.87995,0.01685,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,4221.66,1.64661,1.66409,0.01194,0.86224,0.74116,0.84156,0.5201,1.42277,0.92523,0.01837,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4468.38,1.62722,1.60026,0.01164,0.8616,0.73888,0.85045,0.55122,1.29375,0.89576,0.01702,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,4714.78,1.59196,1.56803,0.01136,0.86057,0.77149,0.86547,0.56385,1.29479,0.88216,0.01691,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,4961.7,1.61697,1.5493,0.01174,0.88676,0.79098,0.87952,0.56392,1.33005,0.83432,0.01669,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,5209.03,1.59831,1.55471,0.0117,0.87619,0.72376,0.85945,0.55882,1.2804,0.91221,0.01624,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,5456.11,1.57314,1.52077,0.01137,0.86037,0.77023,0.86239,0.57769,1.24951,0.82758,0.01643,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,5702.56,1.56171,1.4992,0.01107,0.88497,0.79654,0.88302,0.59635,1.22531,0.76768,0.0157,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,5949.53,1.56972,1.49663,0.01152,0.91604,0.75766,0.87634,0.58849,1.22405,0.7988,0.01629,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,6196.13,1.57267,1.4713,0.01109,0.87049,0.79167,0.88421,0.58074,1.24015,0.79904,0.01524,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,6442.58,1.55808,1.46962,0.01097,0.87714,0.79419,0.88463,0.59911,1.20406,0.76502,0.01524,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,6690.32,1.54205,1.43392,0.01084,0.88885,0.7803,0.88246,0.60321,1.15751,0.77766,0.0149,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,6938.55,1.5494,1.43122,0.0107,0.89626,0.76768,0.88607,0.60487,1.20219,0.71013,0.01594,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,7186.67,1.5425,1.41043,0.01079,0.88939,0.78283,0.88333,0.5992,1.21161,0.76168,0.01556,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,7433.19,1.54031,1.42008,0.01068,0.89812,0.78914,0.88329,0.59542,1.18683,0.77501,0.01497,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,7680.58,1.53242,1.41561,0.01075,0.88,0.81566,0.89068,0.60119,1.21235,0.74052,0.01572,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,7928.71,1.52011,1.38028,0.01057,0.88839,0.80177,0.89103,0.60954,1.20428,0.70808,0.01584,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,8176.56,1.50899,1.36591,0.01056,0.90422,0.79167,0.89225,0.6135,1.1547,0.76386,0.01466,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,8423.96,1.51856,1.38462,0.01061,0.8697,0.80904,0.88977,0.61112,1.15006,0.73623,0.01498,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,8671.61,1.50638,1.35623,0.01046,0.90657,0.82087,0.90739,0.63247,1.1371,0.64862,0.01514,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,8919.47,1.50785,1.32056,0.01028,0.9405,0.79837,0.8961,0.62121,1.12977,0.72256,0.01405,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,9165.54,1.48741,1.34218,0.01047,0.88513,0.80934,0.89047,0.61843,1.13436,0.7302,0.0139,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,9412.22,1.47165,1.331,0.01014,0.89892,0.80051,0.89597,0.63105,1.12128,0.71188,0.01402,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,9658.3,1.46585,1.29551,0.00983,0.87776,0.82449,0.89618,0.62792,1.14605,0.69529,0.01495,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,9904.65,1.46468,1.27939,0.00994,0.92613,0.80934,0.90028,0.63238,1.1173,0.69522,0.01421,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,10152,1.4656,1.30035,0.01028,0.92136,0.79293,0.89849,0.63453,1.1117,0.66821,0.01446,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,10399.3,1.45375,1.28191,0.00985,0.90969,0.81187,0.90042,0.62989,1.14051,0.66348,0.0144,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,10646.1,1.44842,1.28299,0.01002,0.88182,0.82828,0.90193,0.63021,1.13011,0.68461,0.01476,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,10892.5,1.45955,1.25565,0.01007,0.94601,0.81944,0.91189,0.64526,1.0947,0.63987,0.01411,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,11139.3,1.44962,1.26405,0.00995,0.88701,0.84596,0.90692,0.64213,1.11722,0.64154,0.0144,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,11386.6,1.44322,1.23163,0.00973,0.89507,0.82928,0.89705,0.64216,1.11486,0.66341,0.01438,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,11633.3,1.43842,1.22854,0.00973,0.91686,0.81818,0.90894,0.64693,1.0843,0.63527,0.01364,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,11880.9,1.42313,1.24021,0.00987,0.93046,0.81089,0.9037,0.64133,1.09195,0.65184,0.01371,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,12128.2,1.42299,1.22128,0.00987,0.93047,0.81101,0.90279,0.63683,1.09668,0.66959,0.01406,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,12375.5,1.4286,1.2354,0.00983,0.92012,0.81692,0.90365,0.64162,1.09656,0.63466,0.01379,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,12622.7,1.42009,1.1964,0.00991,0.9364,0.82828,0.91126,0.65797,1.06758,0.62166,0.01357,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,12871.1,1.41165,1.19868,0.00947,0.91393,0.84091,0.90671,0.65182,1.08229,0.62126,0.01403,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,13117.7,1.41347,1.18385,0.00955,0.9167,0.84091,0.91143,0.66336,1.0667,0.61568,0.01376,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
