epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.631,1.66319,3.87192,0.01588,0.75223,0.66288,0.77461,0.45509,1.39896,1.2667,0.01819,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704,0.00998113,0.00332704
2,505.874,1.64991,1.89,0.01562,0.84927,0.65449,0.77649,0.45648,1.44915,1.20308,0.0184,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997,0.0199799,0.00665997
3,750.648,1.76937,2.07549,0.01736,0.69769,0.56313,0.64959,0.34135,1.76758,1.70385,0.02303,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127,0.0299738,0.00999127
4,993.847,1.84215,2.2436,0.01791,0.78042,0.55429,0.67048,0.35435,1.81659,1.46366,0.02367,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1236.82,1.77077,2.116,0.01703,0.78452,0.62057,0.73969,0.409,1.6397,1.25035,0.02211,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1480.63,1.71223,2.04059,0.01627,0.81242,0.67263,0.77303,0.45134,1.53416,1.39513,0.02091,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1723.7,1.69325,1.8903,0.01625,0.79172,0.69444,0.77863,0.44352,1.53396,1.19545,0.01918,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1966.41,1.65798,1.84839,0.0159,0.78936,0.71843,0.79935,0.4748,1.48732,1.05277,0.01917,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2209.04,1.62713,1.79169,0.01517,0.85173,0.73485,0.83517,0.5275,1.35539,0.99324,0.01842,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2452.48,1.59632,1.71767,0.01481,0.8625,0.72073,0.83754,0.51537,1.40656,0.97189,0.01834,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,2695.61,1.58031,1.69869,0.01481,0.87475,0.71426,0.83958,0.5292,1.38173,0.96119,0.01816,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2940.05,1.56898,1.64662,0.01451,0.85838,0.75765,0.85563,0.52469,1.41033,0.90558,0.01764,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,3182.69,1.53821,1.60453,0.01431,0.85087,0.74201,0.84132,0.50947,1.43916,0.93548,0.01934,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,3466.73,1.5209,1.57736,0.01409,0.87559,0.74643,0.84967,0.54481,1.31855,0.93392,0.01778,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,3709.47,1.52006,1.5582,0.01374,0.87211,0.79214,0.87415,0.55381,1.33696,0.84505,0.01721,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,3953.37,1.48701,1.49989,0.01329,0.85897,0.77778,0.85753,0.55726,1.29194,0.88187,0.01714,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,4197.76,1.49321,1.4802,0.01354,0.8825,0.76641,0.86694,0.53277,1.38827,0.87393,0.01742,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4441.82,1.47401,1.43259,0.01358,0.85355,0.78739,0.86949,0.55273,1.32521,0.87272,0.01723,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,4684.94,1.44974,1.39142,0.01309,0.88844,0.78431,0.86826,0.5749,1.28174,0.81401,0.01723,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,4927.94,1.44573,1.40322,0.01335,0.92134,0.78382,0.88126,0.57532,1.29221,0.79383,0.0165,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,5171.14,1.44994,1.39862,0.013,0.908,0.77264,0.8743,0.59336,1.24483,0.80991,0.01697,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,5415.05,1.41282,1.36727,0.01275,0.9155,0.79798,0.87812,0.57839,1.26494,0.82456,0.01583,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,5657.08,1.42346,1.34533,0.01278,0.89341,0.78283,0.87519,0.59203,1.19964,0.80691,0.01491,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,5898.71,1.40969,1.32675,0.01242,0.92313,0.7733,0.8843,0.59837,1.23274,0.76716,0.01639,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,6140.96,1.38889,1.31366,0.01273,0.89538,0.78914,0.88314,0.60353,1.17578,0.75677,0.0149,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,6382.76,1.39658,1.3112,0.01233,0.90234,0.80808,0.89002,0.60119,1.20751,0.74904,0.01526,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,6624.36,1.37858,1.28637,0.01221,0.9281,0.78231,0.88004,0.5984,1.25279,0.74342,0.01626,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,6866.52,1.36718,1.2578,0.01232,0.8624,0.80934,0.88891,0.60176,1.219,0.73831,0.01564,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,7109.08,1.36782,1.24298,0.01245,0.91916,0.80303,0.88621,0.60399,1.17895,0.77975,0.01581,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,7352.88,1.35044,1.22397,0.0118,0.89439,0.81692,0.88623,0.61026,1.18696,0.72486,0.01541,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,7595.29,1.35291,1.24427,0.0119,0.92089,0.79672,0.88703,0.6141,1.17503,0.72703,0.01546,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,7838.77,1.32688,1.21196,0.01179,0.91126,0.81818,0.90594,0.63262,1.16578,0.64765,0.0148,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,8082.71,1.3313,1.18381,0.01158,0.92292,0.82828,0.90527,0.64623,1.11051,0.66593,0.01435,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,8326.83,1.33205,1.19648,0.01176,0.92938,0.82576,0.9047,0.62398,1.14732,0.69071,0.01434,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,8568.69,1.31516,1.19584,0.01166,0.91757,0.81439,0.90595,0.64727,1.10533,0.63062,0.014,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,8811.22,1.30941,1.18406,0.01166,0.89375,0.82828,0.89923,0.63969,1.11441,0.65654,0.01442,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
