epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.72,1.66732,4.2444,0.01313,0.71194,0.56187,0.67129,0.34016,1.56573,1.49567,0.02063,0.00996923,0.00332308,0.00996923,0.00332308,0.00996923,0.00332308,0.00996923,0.00332308
2,215.499,1.62095,1.82893,0.01285,0.6855,0.55429,0.61821,0.30448,1.73666,1.80141,0.023,0.019968,0.006656,0.019968,0.006656,0.019968,0.006656,0.019968,0.006656
3,316.138,1.75243,2.06195,0.01388,0.65273,0.52146,0.6066,0.27964,1.88774,1.73249,0.02396,0.0299619,0.0099873,0.0299619,0.0099873,0.0299619,0.0099873,0.0299619,0.0099873
4,416.289,1.87555,2.18407,0.01543,0.55561,0.3915,0.41214,0.19052,1.83252,2.19664,0.02413,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,516.437,1.81785,2.09532,0.01477,0.51115,0.45833,0.44404,0.21387,1.81328,2.14398,0.02333,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,616.393,1.81425,2.04602,0.01409,0.70606,0.57019,0.65586,0.33725,1.77468,1.6128,0.02474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,716.54,1.75355,1.97051,0.01393,0.61857,0.48864,0.52988,0.25558,1.82197,2.00059,0.02266,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,816.468,1.73127,1.88445,0.01356,0.784,0.6416,0.73911,0.41399,1.57956,1.42332,0.02003,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,916.969,1.69431,1.83898,0.01333,0.74375,0.62121,0.71371,0.39074,1.6341,1.35649,0.02229,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1016.65,1.67568,1.79883,0.01275,0.74754,0.59975,0.69686,0.37469,1.62668,1.57552,0.02097,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1116.54,1.66414,1.79298,0.01296,0.78663,0.63772,0.74469,0.41117,1.58362,1.36352,0.02034,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1216.89,1.63515,1.73822,0.01252,0.76838,0.65152,0.74941,0.40954,1.58876,1.28513,0.02043,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1317.31,1.62325,1.67957,0.01245,0.84526,0.68279,0.79424,0.46078,1.49052,1.18302,0.01942,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1418.39,1.58356,1.62507,0.012,0.86542,0.69823,0.81076,0.43818,1.56746,1.18481,0.01991,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1518.68,1.60233,1.61807,0.0117,0.80675,0.67551,0.7776,0.46201,1.45043,1.18204,0.01915,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1620.32,1.56768,1.56219,0.01169,0.84215,0.7197,0.81798,0.47775,1.5058,1.09587,0.02,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1721.77,1.55046,1.55299,0.01176,0.81528,0.70833,0.80472,0.46518,1.49787,1.15252,0.01909,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,1821.8,1.55819,1.55216,0.01152,0.84454,0.67219,0.78924,0.46362,1.55762,1.10763,0.02047,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,1921.78,1.53506,1.48973,0.0114,0.83379,0.69949,0.80437,0.49757,1.39134,1.05564,0.01699,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,2022.07,1.53638,1.48782,0.01106,0.86896,0.72222,0.8307,0.4995,1.4715,1.04588,0.01808,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,2122.83,1.51295,1.47735,0.01138,0.86176,0.70076,0.8254,0.50163,1.41462,1.00493,0.01822,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2224.12,1.49645,1.46142,0.01092,0.87717,0.71465,0.83012,0.50844,1.43033,0.96754,0.01947,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,2324.68,1.50759,1.4321,0.01111,0.86157,0.7298,0.82479,0.51969,1.38172,0.99468,0.01801,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,2425.59,1.49283,1.39935,0.01116,0.87224,0.69825,0.81805,0.5217,1.34745,1.04188,0.01733,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,2526.76,1.49639,1.39824,0.01082,0.85715,0.74242,0.85037,0.54279,1.34156,0.86781,0.01689,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
