epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.657,1.7442,3.87471,0.01535,0.76352,0.63763,0.71197,0.35793,1.59558,1.55492,0.01847,0.00998124,0.00332708,0.00998124,0.00332708,0.00998124,0.00332708,0.00998124,0.00332708
2,342.942,1.72899,2.00627,0.01501,0.70995,0.5563,0.65603,0.32831,1.74816,1.62496,0.02363,0.01998,0.00666001,0.01998,0.00666001,0.01998,0.00666001,0.01998,0.00666001
3,504.901,1.82793,2.179,0.01633,0.74585,0.57576,0.66281,0.33635,1.71399,1.61951,0.02162,0.0299739,0.00999131,0.0299739,0.00999131,0.0299739,0.00999131,0.0299739,0.00999131
4,666.329,1.89495,2.36494,0.01688,0.70262,0.50118,0.57939,0.29308,1.68346,2.33397,0.02084,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,828.855,1.86031,2.23338,0.01608,0.81409,0.57955,0.70664,0.37045,1.63312,1.75372,0.02127,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,990.689,1.81016,2.08958,0.01574,0.75009,0.62247,0.69289,0.39826,1.6551,1.43879,0.02341,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1152.02,1.77913,2.03795,0.01538,0.69371,0.60101,0.67564,0.34302,1.6652,1.69253,0.02143,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1313.44,1.73384,1.95464,0.01482,0.75873,0.6351,0.74322,0.42204,1.58021,1.24931,0.02048,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1475.94,1.70719,1.88419,0.01459,0.83759,0.64646,0.78387,0.4618,1.46206,1.17808,0.01809,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1637.25,1.67885,1.8552,0.01392,0.84367,0.67045,0.78041,0.44816,1.49967,1.22429,0.01887,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1797.97,1.67113,1.82782,0.01397,0.81083,0.67651,0.78444,0.46006,1.44794,1.18738,0.01789,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1960.15,1.65353,1.76745,0.01402,0.83568,0.6999,0.81218,0.49447,1.43171,1.0112,0.01842,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2121.91,1.61537,1.73395,0.0134,0.87884,0.72222,0.83401,0.50478,1.38005,1.04217,0.01716,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2283.47,1.60292,1.71578,0.01332,0.83669,0.71591,0.82411,0.49429,1.42578,1.01075,0.01693,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2444.93,1.59881,1.68949,0.01327,0.87902,0.71591,0.82053,0.50492,1.41345,1.02279,0.01806,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2607.01,1.58047,1.65909,0.01341,0.86177,0.7197,0.83835,0.52393,1.32099,0.9976,0.0164,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,2768.65,1.57859,1.64684,0.01285,0.89317,0.75505,0.85754,0.51519,1.42894,0.94136,0.01758,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,2929.69,1.55888,1.57857,0.01263,0.86354,0.73508,0.85102,0.51508,1.424,0.94342,0.01657,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3091.05,1.55904,1.56774,0.01279,0.87314,0.75758,0.8536,0.52834,1.37238,0.92646,0.01692,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3252.73,1.54555,1.54721,0.01257,0.88282,0.7197,0.84794,0.52198,1.38525,0.93566,0.01673,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3414.44,1.53362,1.54897,0.01264,0.87974,0.78283,0.87323,0.5594,1.30789,0.87786,0.01566,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,3577.22,1.51507,1.5177,0.01237,0.87808,0.77297,0.85853,0.55113,1.30134,0.85506,0.01508,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,3738.62,1.5237,1.49963,0.01247,0.8747,0.75884,0.86424,0.56494,1.28455,0.84261,0.01609,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,3900.5,1.5,1.50045,0.01238,0.88236,0.76515,0.86349,0.54891,1.3238,0.82954,0.01672,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4061.95,1.5033,1.49638,0.01214,0.86125,0.77778,0.86829,0.55901,1.30202,0.83791,0.01559,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,4223.2,1.49996,1.48471,0.01193,0.86671,0.80459,0.88171,0.5753,1.24144,0.80854,0.01569,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,4385.12,1.49175,1.46007,0.01202,0.86987,0.78493,0.87831,0.56267,1.27891,0.79677,0.01585,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,4547.27,1.48369,1.43976,0.01179,0.86355,0.76711,0.86632,0.57263,1.23787,0.80459,0.01495,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,4709.11,1.47809,1.4177,0.01183,0.88755,0.79293,0.88075,0.5644,1.29687,0.78096,0.01573,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,4870.44,1.4637,1.39565,0.0116,0.85048,0.78914,0.86122,0.54024,1.34193,0.84128,0.01548,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5031.6,1.46462,1.41313,0.01179,0.89143,0.78283,0.87755,0.55562,1.31979,0.79332,0.01535,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5193.33,1.43814,1.37816,0.01151,0.90617,0.78043,0.8837,0.58204,1.25321,0.75202,0.01527,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5355.77,1.44528,1.37222,0.01147,0.89837,0.80429,0.88225,0.59273,1.20705,0.7497,0.01456,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,5518.42,1.43868,1.36504,0.0114,0.91325,0.82449,0.89199,0.58443,1.24649,0.74383,0.0144,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,5679.45,1.42612,1.34904,0.01148,0.89483,0.80572,0.88977,0.59807,1.21661,0.72477,0.0148,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,5840.95,1.42123,1.35289,0.01117,0.87979,0.82242,0.89086,0.60245,1.19983,0.73668,0.01435,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6002.42,1.42647,1.3515,0.01149,0.90929,0.81313,0.89111,0.59906,1.22863,0.73849,0.0152,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6163.25,1.42085,1.33774,0.01136,0.91381,0.81658,0.89488,0.59483,1.2335,0.72369,0.01487,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6323.99,1.41405,1.29492,0.01104,0.91619,0.81692,0.90045,0.56714,1.31597,0.72651,0.01468,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,6484.8,1.40758,1.31458,0.01119,0.88205,0.80808,0.89605,0.59636,1.20942,0.72342,0.01477,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,6645.82,1.40344,1.30637,0.0113,0.92177,0.80303,0.90119,0.60592,1.20261,0.67608,0.01451,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,6808.37,1.39893,1.27672,0.01112,0.91266,0.80479,0.89827,0.60386,1.19348,0.70801,0.015,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,6969.26,1.38238,1.29018,0.01097,0.90733,0.82829,0.90278,0.6181,1.17063,0.68569,0.01419,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,7130.68,1.40459,1.2797,0.01099,0.9147,0.82071,0.90272,0.60665,1.21047,0.69741,0.01452,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,7293.3,1.39656,1.26878,0.01099,0.8881,0.82449,0.90926,0.61958,1.16727,0.67695,0.01364,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,7454.89,1.37319,1.23361,0.01077,0.9034,0.82323,0.90455,0.61763,1.17773,0.67408,0.01408,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,7616.11,1.37785,1.25171,0.01086,0.91713,0.81944,0.90565,0.62082,1.16738,0.65,0.01419,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
