epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,194.472,1.75946,3.81876,0.01583,0.77282,0.6654,0.74169,0.39357,1.59825,1.30816,0.02125,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742
2,370.119,1.71315,1.99208,0.01464,0.66162,0.46166,0.53601,0.2725,1.63371,1.94443,0.02109,0.019981,0.00666035,0.019981,0.00666035,0.019981,0.00666035,0.019981,0.00666035
3,541.498,1.84236,2.23811,0.01635,0.55406,0.54278,0.54078,0.24529,1.83945,1.76188,0.02411,0.0299749,0.00999165,0.0299749,0.00999165,0.0299749,0.00999165,0.0299749,0.00999165
4,712.941,1.91218,2.358,0.01654,0.64664,0.49621,0.54798,0.27733,1.85198,1.99037,0.02385,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,883.764,1.88108,2.24031,0.01629,0.75345,0.56187,0.65363,0.34715,1.64177,1.57853,0.02109,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1053.48,1.8213,2.14918,0.01589,0.74349,0.56359,0.67768,0.35833,1.675,1.52587,0.01984,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1223.23,1.78977,2.07207,0.01556,0.79075,0.65152,0.7402,0.40623,1.57178,1.42883,0.02145,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1394.06,1.75734,2.02182,0.01511,0.79742,0.6312,0.75237,0.42397,1.52958,1.20974,0.01989,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1565.48,1.71726,1.91944,0.01441,0.82763,0.61995,0.73365,0.41765,1.56351,1.34106,0.02019,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1736.85,1.6852,1.8908,0.01435,0.86671,0.69784,0.82231,0.47829,1.46912,1.21446,0.01839,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1908.12,1.66235,1.82831,0.01367,0.79625,0.65628,0.75946,0.44807,1.51644,1.14277,0.01861,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2079.64,1.66694,1.81065,0.01388,0.8515,0.70952,0.8237,0.50222,1.38005,1.15401,0.01681,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2251.13,1.62489,1.74061,0.01377,0.83997,0.69949,0.80061,0.48448,1.42857,1.10683,0.01713,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2421.98,1.6266,1.7367,0.01357,0.8821,0.73106,0.84542,0.50955,1.402,0.97734,0.01828,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2593.54,1.61383,1.72328,0.01346,0.89418,0.72222,0.8467,0.52003,1.40546,0.92504,0.01714,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2764.77,1.59643,1.69843,0.01304,0.87541,0.71591,0.84956,0.53102,1.36917,0.92354,0.01748,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,2935.57,1.58964,1.65354,0.01306,0.87079,0.73178,0.84605,0.52269,1.36893,0.92325,0.01753,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,3105.44,1.56684,1.61302,0.01306,0.86692,0.78788,0.87092,0.53772,1.37862,0.83269,0.01742,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3276.09,1.56068,1.58889,0.01263,0.87365,0.77698,0.86093,0.54897,1.30687,0.86625,0.01642,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3446.46,1.54919,1.57184,0.01291,0.89433,0.72662,0.85679,0.54058,1.31902,0.86468,0.01747,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3615.81,1.54076,1.55331,0.01261,0.88123,0.75631,0.86024,0.54048,1.33808,0.88136,0.01668,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,3785.82,1.52604,1.52658,0.01275,0.86513,0.78914,0.87185,0.52917,1.37458,0.86851,0.01756,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,3954.58,1.52212,1.5233,0.01231,0.88967,0.77376,0.87524,0.56038,1.29879,0.82257,0.01631,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,4124.01,1.5209,1.53132,0.01237,0.88058,0.79135,0.87481,0.56281,1.29835,0.83701,0.01628,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4294.57,1.51247,1.51102,0.01225,0.87738,0.77146,0.87057,0.57006,1.27344,0.80585,0.01579,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,4463.88,1.49632,1.4961,0.01185,0.91094,0.77652,0.87799,0.57141,1.26604,0.83065,0.01591,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,4633.18,1.4888,1.47027,0.01202,0.8884,0.80414,0.8921,0.56806,1.30841,0.76143,0.01529,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,4801.89,1.49431,1.49503,0.01219,0.88853,0.77499,0.87432,0.56194,1.31664,0.78924,0.01622,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,4970.67,1.48707,1.45687,0.01177,0.88567,0.79672,0.87798,0.57387,1.24925,0.80372,0.01469,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,5140.02,1.47412,1.44963,0.01204,0.89331,0.79672,0.88644,0.58555,1.25103,0.73842,0.01547,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5309.35,1.4697,1.42779,0.01196,0.86519,0.78283,0.87532,0.56959,1.25616,0.81363,0.0152,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5478.88,1.47367,1.41906,0.0119,0.90936,0.80303,0.89024,0.58164,1.28098,0.76442,0.0162,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5647.64,1.46578,1.42788,0.01192,0.8749,0.81236,0.88854,0.57207,1.28649,0.76948,0.0161,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,5816.69,1.43153,1.39287,0.01123,0.92169,0.78761,0.89284,0.58711,1.21588,0.75626,0.01422,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,5986.69,1.44396,1.36927,0.01171,0.89206,0.81692,0.8873,0.57477,1.25411,0.75967,0.01474,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6156.03,1.42907,1.36089,0.01134,0.90515,0.80934,0.89407,0.59469,1.21349,0.71815,0.01432,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
