epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3576,1.58469,5.46268,0.02503,0.38284,0.35848,0.263,0.10065,1.9273,3.26061,0.04908,0.000661157,0.000661157,0.000661157
2,75.8132,1.88057,2.63914,0.03064,0.22153,0.33711,0.1567,0.04983,2.23586,3.89332,0.0585,0.00132774,0.00132774,0.00132774
3,109.432,1.94453,2.70038,0.03176,0.32828,0.29745,0.22786,0.06947,2.31312,2.86059,0.05998,0.001994,0.001994,0.001994
4,143.06,1.91798,2.5948,0.03068,0.41458,0.37394,0.34082,0.12634,1.97456,2.93096,0.04748,0.0019989,0.0019989,0.0019989
5,177.463,1.87604,2.48069,0.02901,0.38378,0.33994,0.33317,0.12799,2.06021,2.44028,0.05183,0.00199805,0.00199805,0.00199805
6,211.861,1.83441,2.43022,0.02829,0.46723,0.41488,0.37438,0.13437,2.02095,2.46421,0.04949,0.00199695,0.00199695,0.00199695
7,247.893,1.77492,2.30388,0.02739,0.52459,0.47592,0.44929,0.20121,1.82509,2.1237,0.04415,0.00199561,0.00199561,0.00199561
8,283.327,1.75136,2.24413,0.0273,0.58935,0.45326,0.48917,0.20609,1.82562,2.15091,0.04471,0.00199402,0.00199402,0.00199402
9,317.586,1.72261,2.18823,0.02717,0.59022,0.45609,0.46687,0.21114,1.83817,2.22648,0.04457,0.00199219,0.00199219,0.00199219
10,351.862,1.72339,2.20818,0.02675,0.70264,0.49858,0.55996,0.23551,1.87759,1.92637,0.04536,0.00199012,0.00199012,0.00199012
11,386.293,1.68494,2.14406,0.02545,0.56133,0.45042,0.4784,0.19521,1.82548,2.02087,0.04461,0.00198781,0.00198781,0.00198781
12,420.718,1.68793,2.16706,0.02557,0.66015,0.55241,0.58333,0.26306,1.83417,1.80688,0.04487,0.00198526,0.00198526,0.00198526
13,455.156,1.6432,2.05601,0.02524,0.67281,0.47875,0.56766,0.28474,1.70435,2.06753,0.04115,0.00198246,0.00198246,0.00198246
14,489.6,1.63542,2.09937,0.02503,0.67978,0.52408,0.5818,0.28772,1.67423,1.9781,0.04044,0.00197943,0.00197943,0.00197943
15,524.063,1.60367,2.04305,0.02431,0.75205,0.48977,0.58542,0.29334,1.66755,2.00422,0.0393,0.00197616,0.00197616,0.00197616
16,558.494,1.57735,1.95224,0.02378,0.55227,0.54391,0.52844,0.26724,1.69184,1.89042,0.04013,0.00197265,0.00197265,0.00197265
17,592.168,1.57082,1.89827,0.02372,0.63293,0.58617,0.61381,0.32903,1.59058,1.74061,0.03751,0.0019689,0.0019689,0.0019689
18,626.66,1.58774,1.85304,0.02388,0.68107,0.5384,0.59949,0.30532,1.71562,1.66962,0.04112,0.00196491,0.00196491,0.00196491
19,660.402,1.58291,1.91583,0.02404,0.74097,0.51841,0.59647,0.30265,1.65942,1.7703,0.04017,0.00196069,0.00196069,0.00196069
20,694.125,1.56481,1.92086,0.02347,0.70731,0.53824,0.6252,0.31944,1.65635,1.70109,0.03865,0.00195624,0.00195624,0.00195624
21,727.874,1.55025,1.85444,0.0232,0.67073,0.57706,0.61525,0.31147,1.71954,1.61822,0.04086,0.00195155,0.00195155,0.00195155
22,762.926,1.536,1.82974,0.02347,0.7115,0.56941,0.64646,0.34142,1.61735,1.60409,0.03783,0.00194662,0.00194662,0.00194662
23,797.331,1.52377,1.8189,0.02337,0.75826,0.51538,0.62454,0.34346,1.50019,1.71501,0.03444,0.00194147,0.00194147,0.00194147
24,831.998,1.53323,1.87052,0.02279,0.72015,0.62323,0.67272,0.35857,1.55637,1.51726,0.03547,0.00193609,0.00193609,0.00193609
25,866.705,1.50123,1.82583,0.02248,0.7369,0.59508,0.66712,0.35509,1.5973,1.56777,0.03761,0.00193048,0.00193048,0.00193048
26,900.612,1.52806,1.7971,0.02271,0.76679,0.59613,0.67765,0.34821,1.60231,1.5966,0.03756,0.00192464,0.00192464,0.00192464
27,934.277,1.47681,1.72939,0.02143,0.79942,0.58357,0.66798,0.35756,1.54613,1.59968,0.03515,0.00191858,0.00191858,0.00191858
28,967.945,1.48114,1.73821,0.02195,0.7694,0.54674,0.64256,0.35037,1.55298,1.62896,0.03546,0.00191229,0.00191229,0.00191229
29,1001.64,1.47095,1.7323,0.02207,0.69591,0.6119,0.66383,0.35933,1.60145,1.47385,0.03659,0.00190578,0.00190578,0.00190578
30,1036.19,1.44559,1.67444,0.02142,0.69702,0.53258,0.60336,0.32092,1.53706,1.80474,0.0354,0.00189905,0.00189905,0.00189905
31,1069.93,1.44081,1.70634,0.0211,0.80378,0.58074,0.68716,0.36807,1.51716,1.50124,0.03421,0.0018921,0.0018921,0.0018921
32,1104.84,1.43652,1.71574,0.02111,0.79889,0.60623,0.68797,0.37318,1.59584,1.54003,0.03633,0.00188493,0.00188493,0.00188493
33,1138.85,1.45162,1.71014,0.02161,0.72872,0.60623,0.66977,0.36015,1.53437,1.51466,0.03487,0.00187754,0.00187754,0.00187754
34,1172.05,1.45207,1.73603,0.02172,0.70927,0.58074,0.65129,0.36381,1.51513,1.52101,0.03493,0.00186995,0.00186995,0.00186995
35,1205.12,1.43205,1.70591,0.02109,0.72976,0.56657,0.63603,0.3592,1.50559,1.56596,0.03438,0.00186213,0.00186213,0.00186213
36,1238.17,1.44317,1.66327,0.02111,0.75531,0.59773,0.67238,0.37558,1.51213,1.49635,0.03432,0.00185411,0.00185411,0.00185411
37,1272.07,1.41366,1.65474,0.02094,0.77967,0.58357,0.67424,0.39592,1.46367,1.53953,0.03325,0.00184588,0.00184588,0.00184588
38,1306.17,1.42362,1.66086,0.02061,0.75203,0.5949,0.68961,0.39133,1.43169,1.48009,0.03185,0.00183745,0.00183745,0.00183745
39,1339.29,1.41244,1.59212,0.0207,0.74587,0.63191,0.69926,0.40793,1.50094,1.36349,0.03377,0.00182881,0.00182881,0.00182881
40,1373.17,1.39125,1.61346,0.02046,0.74713,0.60057,0.67386,0.39653,1.45157,1.44269,0.03178,0.00181997,0.00181997,0.00181997
41,1406.81,1.40498,1.62784,0.02023,0.73967,0.6289,0.6977,0.40987,1.48388,1.38221,0.03299,0.00181093,0.00181093,0.00181093
42,1442.03,1.37359,1.58731,0.02045,0.82732,0.58924,0.7005,0.39995,1.42617,1.44092,0.03192,0.00180169,0.00180169,0.00180169
43,1475.73,1.36076,1.60519,0.02001,0.77311,0.60623,0.67173,0.38931,1.51124,1.49689,0.03349,0.00179225,0.00179225,0.00179225
44,1509.4,1.37512,1.60536,0.01987,0.73059,0.66066,0.70748,0.41059,1.5066,1.32758,0.03308,0.00178263,0.00178263,0.00178263
45,1543.86,1.38367,1.58581,0.0207,0.70999,0.64589,0.68259,0.40751,1.39331,1.47088,0.03082,0.00177281,0.00177281,0.00177281
46,1577.56,1.37184,1.5832,0.01991,0.75226,0.62796,0.70725,0.41616,1.43743,1.43374,0.03246,0.0017628,0.0017628,0.0017628
47,1612.01,1.34929,1.52979,0.01958,0.78127,0.63739,0.72063,0.42209,1.44294,1.31848,0.03227,0.00175261,0.00175261,0.00175261
48,1646.46,1.35562,1.52301,0.01971,0.7782,0.64606,0.73527,0.42122,1.38962,1.34116,0.03058,0.00174223,0.00174223,0.00174223
49,1680.15,1.31355,1.48699,0.01939,0.78173,0.60057,0.7039,0.41768,1.4092,1.42177,0.03063,0.00173168,0.00173168,0.00173168
50,1713.86,1.35909,1.51981,0.01916,0.76481,0.66326,0.70022,0.41334,1.4222,1.36344,0.03111,0.00172095,0.00172095,0.00172095
51,1747.59,1.34153,1.5519,0.01921,0.81094,0.63739,0.72691,0.43046,1.4256,1.30209,0.03148,0.00171004,0.00171004,0.00171004
52,1782.8,1.33628,1.50791,0.01942,0.84538,0.60406,0.72181,0.42909,1.42907,1.30228,0.03245,0.00169895,0.00169895,0.00169895
