epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,104.785,1.70243,3.64413,0.01525,0.78166,0.77273,0.8104,0.48471,1.285,1.12981,0.01386,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347
2,203.098,1.70443,1.96059,0.01552,0.79256,0.71843,0.79513,0.47014,1.40703,1.21731,0.01766,0.0199692,0.0066564,0.0199692,0.0066564,0.0199692,0.0066564,0.0199692,0.0066564
3,298.32,1.85803,2.15084,0.01802,0.62977,0.54672,0.55905,0.26752,1.84228,2.10516,0.02354,0.0299631,0.0099877,0.0299631,0.0099877,0.0299631,0.0099877,0.0299631,0.0099877
4,392.99,1.94669,2.38333,0.01954,0.6499,0.47475,0.52225,0.27487,1.71337,2.17041,0.02265,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,487.549,1.93839,2.25983,0.01945,0.76244,0.65657,0.73276,0.39628,1.67079,1.33971,0.02113,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,582.306,1.87435,2.16921,0.01876,0.67868,0.68537,0.71311,0.40919,1.5004,1.40955,0.01977,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,676.698,1.83533,2.1179,0.01806,0.79801,0.65846,0.76449,0.42645,1.55154,1.22655,0.01929,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,771.129,1.82735,2.0203,0.0184,0.79526,0.72095,0.81099,0.46961,1.49126,1.0776,0.01775,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,864.551,1.78,1.9174,0.01703,0.76597,0.67298,0.76615,0.44451,1.50608,1.23602,0.01986,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,957.804,1.7544,1.89981,0.01655,0.86176,0.69066,0.81988,0.50816,1.38366,1.02799,0.01652,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1052.01,1.75327,1.83542,0.0164,0.78014,0.73029,0.8108,0.5075,1.37398,1.19367,0.0179,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1146.19,1.71733,1.83141,0.01621,0.85052,0.74495,0.83937,0.52301,1.35588,0.98071,0.01668,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1239.93,1.69929,1.80829,0.01616,0.85782,0.73133,0.84065,0.52305,1.32345,0.98095,0.01507,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1333.75,1.71442,1.75817,0.01577,0.86984,0.75,0.84214,0.52283,1.38654,0.90502,0.01777,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1427.51,1.6976,1.69679,0.01577,0.8418,0.76894,0.83549,0.50563,1.42604,0.97296,0.01663,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1520.73,1.64801,1.69029,0.01539,0.84143,0.73702,0.82761,0.53085,1.29117,1.00697,0.01602,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1614.26,1.65572,1.65645,0.01525,0.80797,0.77399,0.83458,0.52549,1.34781,0.95728,0.01641,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,1707.45,1.65272,1.63952,0.01532,0.82806,0.73577,0.83817,0.54541,1.24448,0.89537,0.01689,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,1801.17,1.61666,1.59377,0.01527,0.88286,0.7601,0.86663,0.54023,1.35617,0.84245,0.01594,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,1894.87,1.6195,1.58996,0.01494,0.84478,0.76276,0.8439,0.5284,1.30568,0.89701,0.01563,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,1988.61,1.59977,1.5776,0.01486,0.887,0.77146,0.87346,0.5709,1.26334,0.78008,0.01536,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2083.72,1.60076,1.55024,0.01467,0.89394,0.73737,0.85697,0.57136,1.22197,0.85833,0.01527,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
